"","mRNAselected_values","ENSG"
"MMRF_2224","22.0635","2224"
"MMRF_2722","15.5848","2722"
"MMRF_1478","13.2204","1478"
"MMRF_1700","22.0281","1700"
"MMRF_1700","16.9722","1700"
"MMRF_1543","17.9332","1543"
"MMRF_2767","12.604","2767"
"MMRF_2760","26.1016","2760"
"MMRF_2011","14.2994","2011"
"MMRF_2404","21.4542","2404"
"MMRF_1497","10.3648","1497"
"MMRF_1540","12.4331","1540"
"MMRF_1595","15.0776","1595"
"MMRF_2731","15.7792","2731"
"MMRF_1296","15.8556","1296"
"MMRF_1589","13.1777","1589"
"MMRF_2567","10.1341","2567"
"MMRF_1538","11.784","1538"
"MMRF_2830","9.6498","2830"
"MMRF_1188","7.5253","1188"
"MMRF_1931","6.7837","1931"
"MMRF_1931","11.5118","1931"
"MMRF_2782","18.803","2782"
"MMRF_2436","19.7321","2436"
"MMRF_2368","9.9635","2368"
"MMRF_1202","14.7647","1202"
"MMRF_1916","11.3846","1916"
"MMRF_2834","21.4841","2834"
"MMRF_2200","14.8772","2200"
"MMRF_1705","11.6284","1705"
"MMRF_1797","17.1755","1797"
"MMRF_1130","10.5473","1130"
"MMRF_2143","12.1963","2143"
"MMRF_2422","13.7666","2422"
"MMRF_1423","12.5748","1423"
"MMRF_2002","11.8592","2002"
"MMRF_1879","11.5638","1879"
"MMRF_2172","20.3165","2172"
"MMRF_2763","15.0102","2763"
"MMRF_2554","12.8413","2554"
"MMRF_1450","10.3849","1450"
"MMRF_2366","10.5027","2366"
"MMRF_2019","22.2451","2019"
"MMRF_1079","14.3384","1079"
"MMRF_1079","14.1189","1079"
"MMRF_1998","19.1739","1998"
"MMRF_1454","9.9954","1454"
"MMRF_1572","17.2495","1572"
"MMRF_2153","9.7901","2153"
"MMRF_1867","9.1125","1867"
"MMRF_1722","13.4367","1722"
"MMRF_2626","13.2957","2626"
"MMRF_1499","10.4071","1499"
"MMRF_1380","13.5547","1380"
"MMRF_1380","16.5924","1380"
"MMRF_2419","13.4351","2419"
"MMRF_2419","12.5472","2419"
"MMRF_1455","17.8202","1455"
"MMRF_1033","9.6039","1033"
"MMRF_1458","13.7091","1458"
"MMRF_1377","11.9371","1377"
"MMRF_2384","15.416","2384"
"MMRF_2407","18.8309","2407"
"MMRF_1808","15.6682","1808"
"MMRF_2670","18.866","2670"
"MMRF_1668","13.1132","1668"
"MMRF_2344","13.3608","2344"
"MMRF_1485","11.9941","1485"
"MMRF_2458","13.453","2458"
"MMRF_1922","12.8426","1922"
"MMRF_2598","13.4122","2598"
"MMRF_2253","18.8742","2253"
"MMRF_2515","6.5988","2515"
