"","mRNAselected_values","ENSG"
"MMRF_1045","17.4827","1045"
"MMRF_2595","11.1104","2595"
"MMRF_1690","22.7498","1690"
"MMRF_1859","9.7089","1859"
"MMRF_1433","11.4713","1433"
"MMRF_1433","10.4096","1433"
"MMRF_1889","20.2922","1889"
"MMRF_1889","21.0625","1889"
"MMRF_1786","24.1194","1786"
"MMRF_2739","24.0028","2739"
"MMRF_2762","10.3976","2762"
"MMRF_1573","22.0564","1573"
"MMRF_2265","12.3793","2265"
"MMRF_2236","17.8287","2236"
"MMRF_2038","6.3","2038"
"MMRF_2000","19.9323","2000"
"MMRF_2427","28.0239","2427"
"MMRF_2307","11.5443","2307"
"MMRF_2018","10.706","2018"
"MMRF_1758","15.9152","1758"
"MMRF_2559","13.0647","2559"
"MMRF_1992","11.9774","1992"
"MMRF_1992","10.1923","1992"
"MMRF_1992","8.8456","1992"
"MMRF_1936","18.3832","1936"
"MMRF_2637","10.5534","2637"
"MMRF_2787","12.3766","2787"
"MMRF_1593","14.0526","1593"
"MMRF_1439","13.3324","1439"
"MMRF_2217","23.1108","2217"
"MMRF_2601","11.3102","2601"
"MMRF_1304","13.4042","1304"
"MMRF_1795","12.4347","1795"
"MMRF_1219","21.4755","1219"
"MMRF_1029","11.25","1029"
"MMRF_1073","18.5632","1073"
"MMRF_2440","15.418","2440"
"MMRF_1651","20.0177","1651"
"MMRF_2488","15.0302","2488"
"MMRF_1640","18.8725","1640"
"MMRF_2611","16.8805","2611"
"MMRF_2639","15.298","2639"
"MMRF_1641","14.073","1641"
"MMRF_1252","17.9259","1252"
"MMRF_2621","20.2481","2621"
"MMRF_2621","18.3259","2621"
"MMRF_1401","18.3274","1401"
"MMRF_1401","15.3545","1401"
"MMRF_1231","13.5316","1231"
"MMRF_1947","17.7721","1947"
"MMRF_1358","22.3255","1358"
"MMRF_1643","12.9588","1643"
"MMRF_1634","19.0586","1634"
"MMRF_1257","12.5606","1257"
"MMRF_1171","13.105","1171"
"MMRF_2560","17.7589","2560"
"MMRF_2596","12.6648","2596"
"MMRF_1731","15.0477","1731"
"MMRF_1771","11.6947","1771"
"MMRF_1664","14.0942","1664"
"MMRF_2306","8.7465","2306"
"MMRF_1915","20.5954","1915"
"MMRF_1652","16.4897","1652"
"MMRF_2717","17.6636","2717"
"MMRF_2231","11.1389","2231"
"MMRF_2106","9.3899","2106"
"MMRF_1446","10.4886","1446"
"MMRF_2548","4.3688","2548"
"MMRF_1520","18.5196","1520"
"MMRF_2473","11.4249","2473"
"MMRF_1807","14.3869","1807"
"MMRF_2733","18.6329","2733"
"MMRF_2583","16.6326","2583"
"MMRF_1790","31.105","1790"
"MMRF_1790","15.7254","1790"
"MMRF_1790","18.266","1790"
"MMRF_1790","23.9441","1790"
"MMRF_1790","13.6719","1790"
"MMRF_2590","14.6074","2590"
"MMRF_2764","16.9652","2764"
"MMRF_1260","9.4021","1260"
"MMRF_2772","15.888","2772"
"MMRF_2400","15.9072","2400"
"MMRF_1710","15.7806","1710"
"MMRF_1235","14.6092","1235"
"MMRF_1235","10.1875","1235"
"MMRF_1695","16.5497","1695"
"MMRF_2194","19.9477","2194"
"MMRF_2194","16.7931","2194"
"MMRF_2452","14.7961","2452"
"MMRF_1085","21.7096","1085"
"MMRF_1621","20.6257","1621"
"MMRF_1137","9.2308","1137"
"MMRF_1137","14.6186","1137"
"MMRF_1137","11.4143","1137"
"MMRF_2602","20.7594","2602"
